tconst	primaryTitle	originalTitle	startYear	runtimeMinutes	genres	averageRating	numVotes
tt0012364	The Phantom Carriage	Körkarlen	1921	107	Drama,Fantasy,Horror	8.0	13133
tt0012494	Destiny	Der müde Tod	1921	97	Drama,Fantasy,Horror	7.6	6288
tt0012532	Orphans of the Storm	Orphans of the Storm	1921	150	Drama,History,Romance	7.3	5279
tt0012642	A Sailor-Made Man	A Sailor-Made Man	1921	47	Comedy	6.8	1169
tt0012651	The Haunted Castle	Schloß Vogelöd	1921	75	Crime,Drama,Mystery	6.1	1943
tt0012675	The Sheik	The Sheik	1921	86	Adventure,Drama,Romance	6.2	3504
tt0012752	The Three Musketeers	The Three Musketeers	1921	119	Action,Adventure,Family	6.9	1061
tt0012763	Tol'able David	Tol'able David	1921	99	Drama	7.1	1904
tt0012938	Beyond the Rocks	Beyond the Rocks	1922	80	Drama,Romance	6.7	2363
tt0012952	Blood and Sand	Blood and Sand	1922	108	Drama,Romance,Sport	6.4	1455
tt0013075	Dr. Jack	Dr. Jack	1922	60	Comedy,Romance	7.1	1575
tt0013086	Dr. Mabuse, the Gambler	Dr. Mabuse, der Spieler	1922	242	Crime,Mystery,Thriller	7.8	8714
tt0013140	Foolish Wives	Foolish Wives	1922	117	Drama,Thriller	7.0	3825
tt0013201	Grandma's Boy	Grandma's Boy	1922	60	Comedy,Family	7.0	1935
tt0013257	Häxan	Häxan	1922	91	Documentary,Fantasy,Horror	7.6	15231
tt0013427	Nanook of the North	Nanook of the North	1922	78	Documentary	7.6	12785
tt0013442	Nosferatu	Nosferatu, eine Symphonie des Grauens	1922	94	Fantasy,Horror	7.9	99788
tt0013496	Phantom	Phantom	1922	125	Drama,Romance	6.7	1858
tt0013556	Robin Hood	Robin Hood	1922	143	Adventure,Family,Romance	7.1	2325
tt0013571	Salomé	Salomé	1922	72	Biography,Drama,History	6.6	1054
tt0013579	Warning Shadows	Schatten - Eine nächtliche Halluzination	1923	90	Drama,Fantasy,Horror	6.7	1050
tt0013750	When Knighthood Was in Flower	When Knighthood Was in Flower	1922	120	Drama,Romance	6.6	1084
tt0013933	The Faithful Heart	Coeur fidèle	1923	87	Drama,Romance	7.4	1355
tt0014029	The Extra Girl	The Extra Girl	1923	68	Comedy,Romance	6.7	1170
tt0014109	The Saga of Gösta Berling	Gösta Berlings saga	1924	183	Drama,Romance	7.0	1314
tt0014142	The Hunchback of Notre Dame	The Hunchback of Notre Dame	1923	133	Drama,Horror,Romance	7.2	5698
tt0014205	Little Old New York	Little Old New York	1923	110	Comedy,Romance	6.4	1052
tt0014341	Our Hospitality	Our Hospitality	1923	65	Comedy,Romance,Thriller	7.8	11647
tt0014358	The Pilgrim	The Pilgrim	1923	47	Comedy,Western	7.3	5308
tt0014417	The Wheel	La roue	1923	417	Drama	7.5	2378
tt0014429	Safety Last!	Safety Last!	1923	74	Action,Comedy,Thriller	8.1	21337
tt0014532	The Ten Commandments	The Ten Commandments	1923	136	Biography,Drama,Fantasy	6.8	2380
tt0014538	Three Ages	Three Ages	1923	63	Comedy	7.0	4658
tt0014586	Waxworks	Das Wachsfigurenkabinett	1924	107	Fantasy,Horror	6.6	2167
tt0014611	Why Worry?	Why Worry?	1923	63	Adventure,Comedy,Family	7.3	1866
tt0014624	A Woman of Paris: A Drama of Fate	A Woman of Paris: A Drama of Fate	1923	82	Drama,Romance	6.9	5761
tt0014646	Aelita, the Queen of Mars	Aelita	1924	111	Adventure,Comedy,Drama	6.4	2726
tt0014945	Girl Shy	Girl Shy	1924	87	Comedy,Romance	7.7	3498
tt0014972	He Who Gets Slapped	He Who Gets Slapped	1924	95	Drama,Romance,Thriller	7.8	3982
tt0015002	Hot Water	Hot Water	1924	53	Comedy	7.1	1483
tt0015016	The Iron Horse	The Iron Horse	1924	150	History,Romance,Western	7.2	2296
tt0015039	Kino Eye	Kinoglaz	1924	78	Documentary	6.9	1136
tt0015064	The Last Laugh	Der letzte Mann	1924	77	Drama	8.0	14453
tt0015116	Manhandled	Manhandled	1924	75	Comedy,Drama	6.7	1106
tt0015119	The Marriage Circle	The Marriage Circle	1924	85	Comedy	7.1	1383
tt0015136	Michael	Michael	1924	93	Drama,Romance	7.1	1920
tt0015163	The Navigator	The Navigator	1924	59	Action,Comedy,Romance	7.6	10317
tt0015167	The Extraordinary Adventures of Mr. West in the Land of the Bolsheviks	Neobychainye priklyucheniya mistera Vesta v strane bolshevikov	1924	94	Comedy,Fantasy,Romance	6.5	1055
tt0015174	Die Nibelungen: Kriemhild's Revenge	Die Nibelungen: Kriemhilds Rache	1924	129	Adventure,Drama,Fantasy	7.9	4678
tt0015175	Die Nibelungen: Siegfried	Die Nibelungen: Siegfried	1924	143	Adventure,Drama,Fantasy	8.1	6125
tt0015202	The Hands of Orlac	Orlacs Hände	1924	92	Crime,Horror,Mystery	7.0	3118
tt0015214	At 3:25	Paris qui dort	1925	59	Sci-Fi	7.1	1817
tt0015224	Peter Pan	Peter Pan	1924	105	Adventure,Family,Fantasy	7.1	1141
tt0015324	Sherlock Jr.	Sherlock Jr.	1924	45	Action,Comedy,Romance	8.2	51515
tt0015361	Strike	Stachka	1925	82	Drama	7.6	8237
tt0015400	The Thief of Bagdad	The Thief of Bagdad	1924	155	Adventure,Family,Fantasy	7.7	6528
tt0015532	The Adventures of Prince Achmed	Die Abenteuer des Prinzen Achmed	1926	80	Adventure,Animation,Family	7.8	6434
tt0015624	The Big Parade	The Big Parade	1925	151	Drama,Romance,War	7.9	6952
tt0015634	Body and Soul	Body and Soul	1925	102	Drama	6.2	1096
tt0015648	Battleship Potemkin	Bronenosets Potemkin	1925	75	Drama,History,Thriller	7.9	59021
tt0015768	Master of the House	Du skal ære din hustru	1925	111	Comedy,Drama	7.1	2193
tt0015772	The Eagle	The Eagle	1925	73	Action,Adventure,Comedy	6.6	2124
tt0015841	The Freshman	The Freshman	1925	77	Comedy,Family,Music	7.5	5748
tt0015842	The Joyless Street	Die freudlose Gasse	1925	125	Drama	7.1	1639
tt0015863	Go West	Go West	1925	69	Comedy,Western	7.1	4581
tt0015864	The Gold Rush	The Gold Rush	1925	95	Adventure,Comedy,Drama	8.1	112916
tt0015873	Grass: A Nation's Battle for Life	Grass: A Nation's Battle for Life	1925	71	Documentary	7.7	1136
tt0015881	Greed	Greed	1924	140	Drama,Thriller,Western	8.1	10268
tt0016004	Lady Windermere's Fan	Lady Windermere's Fan	1925	120	Comedy	7.2	1212
tt0016028	Little Annie Rooney	Little Annie Rooney	1925	94	Comedy,Drama	6.8	1017
tt0016029	The Little Colonel	The Little Colonel	1935	81	Comedy,Family,Music	7.0	1771
tt0016039	The Lost World	The Lost World	1925	110	Adventure,Fantasy,Sci-Fi	7.0	5474
tt0016104	The Merry Widow	The Merry Widow	1925	137	Drama,Romance	7.3	2459
tt0016123	The Monster	The Monster	1925	86	Comedy,Horror,Mystery	6.2	1239
tt0016220	The Phantom of the Opera	The Phantom of the Opera	1925	93	Horror	7.5	19010
tt0016230	The Pleasure Garden	The Pleasure Garden	1925	75	Drama,Romance	5.8	2663
tt0016332	Seven Chances	Seven Chances	1925	56	Comedy,Romance	7.8	10818
tt0016394	Stage Struck	Stage Struck	1925	70	Comedy	6.8	1003
tt0016473	The Unholy Three	The Unholy Three	1925	86	Crime,Drama,Romance	7.2	2014
